UniteM Bin ID	Contig ID	No. Matched Bins	No. Unmatched Bins	No. Degenerate Bins	No. Unbinned	maxbin_ms107	maxbin_ms40	metabat2	metabat_specific	metabat_superspecific	metabat_verysensitive
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_1603	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_2022	1	2	1	2	matched,max107.002,100.0,0.0	degenerate,max40.003,0.0,0.0	unmatched,mb2.9,92.9,3.5	unmatched,mb_specific.1,92.9,3.5	unbinned	unbinned
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_2458	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_1357	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_514	1	0	1	4	matched,max107.002,100.0,0.0	degenerate,max40.008,1.2,0.0	unbinned	unbinned	unbinned	unbinned
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_93	1	3	1	1	matched,max107.002,100.0,0.0	degenerate,max40.003,0.0,0.0	unmatched,mb2.9,92.9,3.5	unmatched,mb_specific.1,92.9,3.5	unbinned	unmatched,mb_verysensitive.1,94.1,3.5
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_2216	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_367	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_1672	1	0	1	4	matched,max107.002,100.0,0.0	degenerate,max40.010,7.1,0.0	unbinned	unbinned	unbinned	unbinned
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_1417	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_971	1	1	0	4	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unbinned	unbinned	unbinned	unbinned
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_63	1	0	1	4	matched,max107.002,100.0,0.0	degenerate,max40.003,0.0,0.0	unbinned	unbinned	unbinned	unbinned
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_2650	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_1662	1	2	0	3	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unbinned	unbinned	unbinned	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_3061	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_778	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_2166	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_822	1	1	0	4	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unbinned	unbinned	unbinned	unbinned
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_1008	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_2727	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_2986	1	2	1	2	matched,max107.002,100.0,0.0	degenerate,max40.003,0.0,0.0	unbinned	unmatched,mb_specific.1,92.9,3.5	unbinned	unmatched,mb_verysensitive.1,94.1,3.5
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_1867	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_2518	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_2128	1	2	0	3	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unbinned	unbinned	unbinned	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_630	1	1	0	4	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unbinned	unbinned	unbinned	unbinned
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_1872	1	1	1	3	matched,max107.002,100.0,0.0	degenerate,max40.003,0.0,0.0	unbinned	unbinned	unbinned	unmatched,mb_verysensitive.8,64.7,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_1901	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_2357	1	2	0	3	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unbinned	unbinned	unbinned	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_1700	1	5	0	0	matched,max107.002,100.0,0.0	unmatched,max40.001,100.0,0.0	unmatched,mb2.3,96.3,0.0	unmatched,mb_specific.7,96.3,0.0	unmatched,mb_superspecific.7,96.3,0.0	unmatched,mb_verysensitive.7,100.0,0.0
MAG2	5498e568-6918-4000-b27e-dbeff35eeee7_2192	1	0	1	4	matched,max107.002,100.0,0.0	degenerate,max40.010,7.1,0.0	unbinned	unbinned	unbinned	unbinned
